,Protein,Abundance,Sample
540,N-acetylmuramoyl-L-alanine amidase ,0,BoxPL
541,Immunoglobulin lambda variable 3-21 ,0,BoxPL
542,Antithrombin-III ,0,BoxPL
543,Heparin cofactor 2 ,0,BoxPL
544,Complement C3 ,0,BoxPL
545,Immunoglobulin heavy variable 4-39 ,0,BoxPL
546,Immunoglobulin heavy constant gamma 4 ,0,BoxPL
547,Immunoglobulin heavy constant alpha 2 ,0,BoxPL
548,Immunoglobulin heavy constant delta ,0,BoxPL
549,Ceruloplasmin ,0,BoxPL
550,Complement factor H ,0,BoxPL
551,Vitamin D-binding protein ,0,BoxPL
552,Alpha-1B-glycoprotein ,0,BoxPL
553,Complement C5 ,0,BoxPL
554,Insulin-like growth factor-binding protein complex acid labile subunit ,0,BoxPL
555,Immunoglobulin kappa variable 3-15 ,0,BoxPL
556,Immunoglobulin kappa constant ,0,BoxPL
557,Immunoglobulin lambda constant 1 ,0,BoxPL
558,Immunoglobulin lambda-like polypeptide 5 ,0,BoxPL
559,Immunoglobulin heavy constant gamma 3 ,0,BoxPL
560,Immunoglobulin heavy constant gamma 3  ,0,BoxPL
561,Complement C1q subcomponent subunit B ,0,BoxPL
562,Immunoglobulin heavy variable 3-13 ,0,BoxPL
563,Complement component C8 alpha chain ,0,BoxPL
564,Albumin ,0,BoxPL
565,Immunoglobulin heavy variable 3/,0,BoxPL
566,Inter-alpha-trypsin inhibitor heavy chain H1 ,0,BoxPL
567,Afamin ,0,BoxPL
568,Immunoglobulin kappa variable 4-1 ,0,BoxPL
569,Histidine-rich glycoprotein ,0,BoxPL
570,Immunoglobulin heavy variable 5-51 ,0,BoxPL
571,Immunoglobulin heavy constant gamma 2 ,0,BoxPL
572,Complement C4-A ,0,BoxPL
573,Serotransferrin ,0,BoxPL
574,Alpha-2-macroglobulin ,0,BoxPL
575,Clusterin ,1,I-10
576,Apolipoprotein E ,1,I-10
577,Actin  cytoplasmic 2 ,0,I-10
578,Heat shock cognate 71 kDa protein ,1,I-10
579,Annexin ,1,I-10
580,Glyceraldehyde-3-phosphate dehydrogenase ,1,I-10
581,Actin  cytoplasmic 1 ,1,I-10
582,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,I-10
583,Polyubiquitin-C ,1,I-10
584,40S ribosomal protein SA ,0,I-10
585,Tubulin alpha-1A chain ,1,I-10
586,Tubulin alpha-1B chain ,1,I-10
587,Cathepsin D ,1,I-10
588,Corneodesmosin ,1,I-10
589,Histone H2A ,1,I-10
590,Desmoplakin ,1,I-10
591,Histone H3 ,1,I-10
592,Arginase-1 ,1,I-10
593,Coagulation factor V ,1,I-10
594,Heterogeneous nuclear ribonucleoprotein U ,1,I-10
595,Heat shock protein HSP 90-alpha ,1,I-10
596,Histone H1.2 ,0,I-10
597,Tubulin alpha-1C chain ,1,I-10
598,Tubulin alpha chain ,1,I-10
599,Junction plakoglobin ,1,I-10
600,Dipeptidyl peptidase 1 ,1,I-10
601,Histone H2B type 2-F ,1,I-10
602,Cofilin-1 ,1,I-10
603,Polyubiquitin-B ,1,I-10
604,ATP synthase subunit alpha  mitochondrial ,1,I-10
605,Annexin A2 ,1,I-10
606,Desmocollin-1 ,1,I-10
607,Dermokine ,1,I-10
608,Histone H4 ,1,I-10
609,Peptidase A1 domain-containing protein ,1,I-10
610,Histone H1.5 ,1,I-10
611,Heat shock protein HSP 90-beta ,1,I-10
612,Histone H3.3 ,1,I-10
613,Tubulin beta chain ,1,I-10
614,Histone H1.3 ,1,I-10
615,Histone H1.4 ,1,I-10
616,Histone H2A type 2-B ,1,I-10
617,Heat shock protein 75 kDa  mitochondrial ,1,I-10
618,Filaggrin-2 ,1,I-10
619,Alpha-enolase ,1,I-10
620,Lysozyme C ,1,I-10
621,Histone H2B ,1,I-10
622,Histone H2B type 1-C/E/F/G/I ,1,I-10
623,Histone H2B type 1-D ,1,I-10
624,Histone H2B type 1-H ,1,I-10
625,Histone H2B type 1-L ,1,I-10
626,Histone H2B type 1-M ,1,I-10
627,Histone H2B type 1-N ,1,I-10
628,Histone H2B type 1-K ,1,I-10
629,Histone H2B type F-S ,1,I-10
630,Immunoglobulin kappa variable 3D-11 ,1,I-10
631,Apolipoprotein C-III ,1,I-10
632,Dermcidin ,1,I-10
633,Ubiquitin-60S ribosomal protein L40 ,1,I-10
634,Cofilin-2 ,1,I-10
635,L-lactate dehydrogenase A chain ,1,I-10
636,C-reactive protein ,1,I-10
637,Hornerin ,1,I-10
638,Protein POF1B,1,I-10
639,Phosphopyruvate hydratase ,1,I-10
640,Histone H3.1 ,1,I-10
641,Histone H3.1t ,1,I-10
642,Histone H3.2 ,1,I-10
643,60S ribosomal protein L7a ,1,I-10
644,BRI3-binding protein ,1,I-10
645,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,I-10
646,Ubiquitin-40S ribosomal protein S27a ,1,I-10
647,Apolipoprotein(a) ,1,I-10
648,60 kDa heat shock protein  mitochondrial ,1,I-10
649,Histone H2AX ,1,I-10
650,Histone H2A type 1-D ,1,I-10
651,Histone H2A type 1 ,1,I-10
652,Histone H2A type 1-B/E ,1,I-10
653,Beta-actin-like protein 2 ,1,I-10
654,Histone H2A type 1-H ,1,I-10
655,Histone H2A type 2-A ,1,I-10
656,Histone H2A type 2-C ,1,I-10
657,Histone H2A type 1-C ,1,I-10
658,Histone H2A.J ,1,I-10
659,Histone H2A type 3 ,1,I-10
660,Peptidyl-prolyl cis-trans isomerase ,1,I-10
661,Peptidyl-prolyl cis-trans isomerase A ,1,I-10
662,Histone H2A type 1-A ,1,I-10
663,Histone H2A type 1-J ,1,I-10
664,Immunoglobulin heavy variable 3-64D ,1,I-10
665,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,I-10
666,Desmoglein-1 ,1,I-10
667,Lipocalin-1 ,1,I-10
668,Galectin-7 ,1,I-10
669,Putative lipocalin 1-like protein 1 ,1,I-10
670,Proteasome subunit alpha type ,1,I-10
671,Plastin-2 ,1,I-10
672,T-complex protein 1 subunit delta ,1,I-10
673,Elongation factor 1-gamma ,1,I-10
674,HCG2029799 ,1,I-10
675,ATPase family AAA domain-containing protein 2B ,1,I-10
676,Nucleoprotein TPR ,1,I-10
677,Peroxiredoxin-1 ,1,I-10
678,60S ribosomal protein L6 ,1,I-10
679,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,I-10
680,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,I-10
681,Probable non-functional immunoglobulin heavy variable 3-16 ,1,I-10
682,Triosephosphate isomerase ,1,I-10
683,60S ribosomal protein L11 ,1,I-10
684,Plakophilin-1 ,1,I-10
685,Sarcosine dehydrogenase  mitochondrial ,1,I-10
686,Proteasome subunit alpha type-6 ,1,I-10
687,60S ribosomal protein L7 ,1,I-10
688,Immunoglobulin heavy variable 3-48 ,0,I-10
689,Apolipoprotein A-IV ,1,I-10
690,Catalase ,1,I-10
691,Peroxiredoxin-2 ,1,I-10
692,Elongation factor 2 ,1,I-10
693,Immunoglobulin heavy variable 5-10-1 ,1,I-10
694,ELAV-like protein 1 ,1,I-10
695,Immunoglobulin heavy variable 3-30-5 ,1,I-10
696,Immunoglobulin heavy variable 3-30 ,1,I-10
697,40S ribosomal protein S21 ,0,I-10
698,40S ribosomal protein S25 ,0,I-10
699,40S ribosomal protein S6 ,0,I-10
700,Alpha-amylase 2B ,0,I-10
701,Aspartate aminotransferase  cytoplasmic ,0,I-10
702,ATP synthase F(0) complex subunit C3  mitochondrial ,0,I-10
703,ATPase family AAA domain-containing protein 2B  ,0,I-10
704,C4b-binding protein beta chain ,0,I-10
705,Calpain-1 catalytic subunit ,0,I-10
706,Coiled-coil domain-containing protein 174 ,0,I-10
707,Cytosolic 5'-nucleotidase 3A ,0,I-10
708,Disco-interacting protein 2 homolog B ,0,I-10
709,DNA repair protein REV1 ,0,I-10
710,Double-stranded RNA-specific editase 1 ,0,I-10
711,Dual specificity protein phosphatase CDC14A ,0,I-10
712,Filamin-C ,0,I-10
713,Glucosylceramide transporter ABCA12 ,0,I-10
714,Heat shock 70kDa protein 9B (Mortalin-2) ,0,I-10
715,Kinesin-like protein KIF21A ,0,I-10
716,MICAL-like protein 1 ,0,I-10
717,Myosin-9 ,0,I-10
718,Nephrocystin-4 ,0,I-10
719,Non-histone chromosomal protein HMG-17 ,0,I-10
720,Partitioning defective 3 homolog ,0,I-10
721,PAX-interacting protein 1 ,0,I-10
722,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,I-10
723,Protein FAM83G ,0,I-10
724,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,I-10
725,Serpin B12 ,0,I-10
726,SKI/DACH domain-containing protein 1 ,0,I-10
727,Small ubiquitin-related modifier 2 ,0,I-10
728,Transketolase ,0,I-10
729,Transthyretin ,0,I-10
730,Tryptophan--tRNA ligase  ,0,I-10
731,Tyrosine-protein kinase ABL1 ,0,I-10
732,Tyrosine-protein kinase ABL2 ,0,I-10
733,Zinc finger protein 445 ,0,I-10
734,Zinc finger protein castor homolog 1 ,0,I-10
735,Adapter SH3BGRL ,0,I-10
736,ATP-binding cassette sub-family F member 1 ,0,I-10
737,Clathrin heavy chain 2 ,0,I-10
738,Cohesin subunit SA-3 ,0,I-10
739,Histone H2B type 1-A ,0,I-10
740,Histone H2B type 2-K1 ,0,I-10
741,Midasin ,0,I-10
742,POTE ankyrin domain family member F,0,I-10
743,Phosphate carrier protein  mitochondrial ,0,I-10
744,Polyadenylate-binding protein 1 ,0,I-10
745,Protein Shroom2 ,0,I-10
746,Protein-glutamine gamma-glutamyltransferase K ,0,I-10
747,Putative annexin A2-like protein ,0,I-10
748,Pyruvate kinase PKM ,0,I-10
749,Small proline-rich protein 2G ,0,I-10
750,Small ubiquitin-related modifier 3 ,0,I-10
751,Suprabasin ,0,I-10
752,Syndetin ,0,I-10
753,Tubulin alpha-3D chain ,0,I-10
754,Ubiquitin carboxyl-terminal hydrolase 32 ,0,I-10
755,Vesicle-fusing ATPase ,0,I-10
756,Vimentin ,0,I-10
757,Alpha-fetoprotein ,0,I-10
758,Coagulation factor X ,0,I-10
759,Immunoglobulin lambda variable 9-49 ,0,I-10
760,10 kDa heat shock protein  mitochondrial ,0,I-10
761,Adenosylhomocysteinase ,0,I-10
762,ATP synthase lipid-binding protein ,0,I-10
763,Citrate synthase  mitochondrial ,0,I-10
764,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,I-10
765,Dynein axonemal heavy chain 1 ,0,I-10
766,GTP-binding nuclear protein Ran ,0,I-10
767,HCG40295 ,0,I-10
768,Heat shock 70 kDa protein 6 ,0,I-10
769,Histone acetyltransferase KAT6B ,0,I-10
770,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,I-10
771,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,I-10
772,Nebulin ,0,I-10
773,Polyadenylate-binding protein 1-like ,0,I-10
774,Prohibitin ,0,I-10
775,Protein disulfide-isomerase A3 ,0,I-10
776,Protein FAM135A ,0,I-10
777,Ras-related protein Rab-5A ,0,I-10
778,Talin-2 ,0,I-10
779,C1q domain-containing protein,0,I-10
780,Retinol-binding protein ,0,I-10
781,Retinol-binding protein 4 ,0,I-10
782,IgGFc-binding protein ,0,I-10
783,Glial fibrillary acidic protein  ,0,I-10
784,HAUS augmin-like complex subunit 3 ,0,I-10
785,Heat shock 70 kDa protein 1A ,0,I-10
786,Histone H2B type 3-B ,0,I-10
787,Immunoglobulin lambda variable 1-44 ,0,I-10
788,Interleukin-1 receptor accessory protein ,0,I-10
789,Protein S100-A7 ,0,I-10
790,Tumor protein D52 ,0,I-10
791,Zinc finger MYND domain-containing protein 11 ,0,I-10
792,Aspartate aminotransferase  mitochondrial ,0,I-10
793,ATP synthase F(0) complex subunit C1  mitochondrial ,0,I-10
794,ATP synthase F(0) complex subunit C2  mitochondrial ,0,I-10
795,ATP-binding cassette sub-family G member 4 ,0,I-10
796,Chondroitin sulfate synthase 3 ,0,I-10
797,Fibrinogen beta chain ,0,I-10
798,Fructose-bisphosphate aldolase A ,0,I-10
799,Gamma-enolase ,0,I-10
800,Histone H2B type 1-,0,I-10
801,Histone H2B type 1-B ,0,I-10
802,Histone H2B type 2-E ,0,I-10
803,Immunoglobulin heavy variable 2-70D ,0,I-10
804,Immunoglobulin kappa joining 1 ,0,I-10
805,Microtubule-associated serine/threonine-protein kinase 3 ,0,I-10
806,POTE ankyrin domain family member I,0,I-10
807,Protein KIAA0100 ,0,I-10
808,Ras-related protein Rab-5C ,0,I-10
809,S-adenosylmethionine synthase ,0,I-10
810,Serine/arginine-rich splicing factor 3 ,0,I-10
811,Small nuclear ribonucleoprotein Sm D3 ,0,I-10
812,T-complex protein 1 subunit theta ,0,I-10
813,Calmodulin-like protein 5 ,0,I-10
814,Chloride intracellular channel protein 1 ,0,I-10
815,Histone H2B type 1-J ,0,I-10
816,Inactive pancreatic lipase-related protein 1 ,0,I-10
817,Methyl-CpG-binding domain protein 5 ,0,I-10
818,Myelin expression factor 2 ,0,I-10
819,Proline-rich protein 36 ,0,I-10
820,RPL22 ,0,I-10
821,Tubulin beta-4B chain ,0,I-10
822,Ubiquitin-protein ligase E3B ,0,I-10
823,Bridge-like lipid transfer protein family member 2  ,0,I-10
824,Dynein regulatory complex protein 10 ,0,I-10
825,Fructose-bisphosphate aldolase ,0,I-10
826,Glutamine synthetase ,0,I-10
827,Hypoxia-inducible factor 3-alpha ,0,I-10
828,Polyadenylate-binding protein ,0,I-10
829,Pyruvate kinase ,0,I-10
830,Ras-related protein Rab-5B ,0,I-10
831,SLIT-R,0,I-10
832,26S proteasome regulatory subunit 4 ,0,I-10
833,Aconitate hydratase  mitochondrial ,0,I-10
834,Endoplasmic reticulum chaperone BiP ,0,I-10
835,Hemoglobin subunit beta ,0,I-10
836,MAP kinase-activating death domain protein ,0,I-10
837,Myosin light polypeptide 6 ,0,I-10
838,Non-specific serine/threonine protein kinase ,0,I-10
839,Prolactin-inducible protein ,0,I-10
840,Rho family-interacting cell polarization regulator 1 ,0,I-10
841,Ribosome biogenesis protein SPATA5 ,0,I-10
842,Serpin B3 ,0,I-10
843,Tubby protein homolog ,0,I-10
844,Uncharacterized protein KIAA0825 ,0,I-10
845,Zymogen granule protein 16 homolog B ,0,I-10
846,Four and a half LIM domains protein 1  ,0,I-10
847,Immunoglobulin heavy variable 2-70 ,0,I-10
848,Mucin-19 ,0,I-10
849,Perilipin-3 ,0,I-10
850,Proline-serine-threonine phosphatase-interacting protein 2 ,0,I-10
851,Acyl-coenzyme A thioesterase 8 ,0,I-10
852,Cystatin-B ,0,I-10
853,Moesin ,0,I-10
854,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,I-10
855,Tubby-like protein ,0,I-10
856,Apolipoprotein C-II ,0,I-10
857,Beta-enolase ,0,I-10
858,Citrate synthase  ,0,I-10
859,Ezrin ,0,I-10
860,Nesprin-2 ,0,I-10
861,Protein unc-80 homolog ,0,I-10
862,Protocadherin Fat 4 ,0,I-10
863,Retroviral-like aspartic protease 1 ,0,I-10
864,Tryptophan--tRNA ligase  cytoplasmic ,0,I-10
865,Extracellular matrix protein 1 ,0,I-10
866,EH domain-binding protein 1-like protein 1 ,0,I-10
867,FERM and PDZ domain-containing protein 1 ,0,I-10
868,Sulfhydryl oxidase 1 ,0,I-10
869,Collagen alpha-2(XI) chain ,0,I-10
870,Glycine--tRNA ligase ,0,I-10
871,Protein SON,0,I-10
872,TSC22 domain family protein 2 ,0,I-10
873,Tubulin beta-8 chain ,0,I-10
874,Stress-70 protein  mitochondrial ,0,I-10
875,Dedicator of cytokinesis protein 1 ,0,I-10
876,Immunoglobulin heavy variable 3-73 ,0,I-10
877,Immunoglobulin heavy variable 3-64 ,0,I-10
878,Proline/serine-rich coiled-coil protein 1 ,0,I-10
879,SERPIN domain-containing protein  ,0,I-10
880,Deleted in malignant brain tumors 1 protein ,0,I-10
881,Immunoglobulin lambda variable 1-40 ,0,I-10
882,NCK-interacting protein with SH3 domain ,0,I-10
883,Submaxillary gland androgen-regulated protein 3B ,0,I-10
884,T-complex protein 1 subunit gamma ,0,I-10
885,Clathrin coat assembly protein AP180 ,0,I-10
886,78 kDa glucose-regulated protein ,0,I-10
887,Bleomycin hydrolase ,0,I-10
888,Immunoglobulin kappa variable 3D-15 ,0,I-10
889,Protein S100-A9 ,0,I-10
890,Immunoglobulin kappa variable 1/,0,I-10
891,Ras-related protein Rab-7a ,0,I-10
892,DNA replication licensing factor MCM4 ,0,I-10
893,Fibrinogen alpha chain ,0,I-10
894,Protein S100-A8 ,0,I-10
895,Fermitin family homolog 3 ,0,I-10
896,Fibrinogen gamma chain ,0,I-10
897,26S proteasome regulatory subunit 8 ,0,I-10
898,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,I-10
899,Immunoglobulin kappa variable 6-21 ,0,I-10
900,14-3-3 protein zeta/delta ,0,I-10
901,Immunoglobulin lambda variable 3-19 ,0,I-10
902,POTE ankyrin domain family member E,0,I-10
903,Putative beta-actin-like protein 3 ,0,I-10
904,Protein disulfide-isomerase ,0,I-10
905,Phosphoglycerate kinase 1 ,0,I-10
906,Talin-1 ,0,I-10
907,Tetratricopeptide repeat protein 39A ,0,I-10
908,Complement component C8 gamma chain ,0,I-10
909,Profilin ,0,I-10
910,Profilin-1 ,0,I-10
911,Hemicentin-2 ,0,I-10
912,Eukaryotic initiation factor 4A-I ,0,I-10
913,Glutathione peroxidase 3 ,0,I-10
914,RNA helicase ,0,I-10
915,Glutathione S-transferase ,0,I-10
916,Glutathione S-transferase P ,0,I-10
917,GTP-binding protein SAR1a ,0,I-10
918,Immunoglobulin heavy variable 1-69 ,0,I-10
919,14-3-3 protein sigma ,0,I-10
920,60S ribosomal protein L22 ,0,I-10
921,ATP-binding cassette sub-family B member 5 ,0,I-10
922,Phosphatidylcholine translocator ABCB4 ,0,I-10
923,40S ribosomal protein S8 ,0,I-10
924,GTP-binding protein SAR1b ,0,I-10
925,Heterogeneous nuclear ribonucleoprotein A1 ,0,I-10
926,Tubulin beta-4A chain ,0,I-10
927,Immunoglobulin kappa variable 1-9 ,0,I-10
928,Dystonin ,0,I-10
929,Radixin ,0,I-10
930,BPI fold-containing family B member 1 ,0,I-10
931,Properdin ,0,I-10
932,Eukaryotic initiation factor 4A-II ,0,I-10
933,Probable non-functional immunoglobulin heavy variable 3-35 ,1,I-10
934,Immunoglobulin heavy variable 4-31 ,0,I-10
935,Immunoglobulin heavy variable 4-30-2 ,0,I-10
936,Elongation factor 1-delta ,0,I-10
937,Sushi domain-containing protein,0,I-10
938,ATP synthase subunit beta  ,0,I-10
939,Immunoglobulin kappa variable 1D-12 ,0,I-10
940,Immunoglobulin heavy variable 4-59 ,0,I-10
941,Immunoglobulin heavy variable 4-34 ,0,I-10
942,Immunoglobulin heavy variable 4-61 ,0,I-10
943,TAR DNA-binding protein 43 ,0,I-10
944,Immunoglobulin heavy variable 3-53 ,0,I-10
945,Immunoglobulin heavy variable 4-30-4 ,0,I-10
946,ATP synthase subunit beta  mitochondrial ,0,I-10
947,Immunoglobulin heavy variable 3-66 ,0,I-10
948,Immunoglobulin kappa variable 1-12 ,0,I-10
949,Immunoglobulin lambda variable 3-9 ,0,I-10
950,Immunoglobulin heavy variable 3-11 ,0,I-10
951,Heat shock protein beta-1 ,0,I-10
952,Immunoglobulin kappa variable 2-28 ,0,I-10
953,Immunoglobulin kappa variable 2D-26 ,0,I-10
954,Immunoglobulin kappa variable 2D-28 ,0,I-10
955,Immunoglobulin lambda constant 6 ,0,I-10
956,Immunoglobulin lambda variable 3-25 ,1,I-10
957,Immunoglobulin heavy variable 1/,0,I-10
958,Immunoglobulin heavy variable 2-26 ,0,I-10
959,Immunoglobulin lambda variable 8-61 ,0,I-10
960,Leucine-rich alpha-2-glycoprotein ,0,I-10
961,Cholesteryl ester transfer protein ,0,I-10
962,Immunoglobulin kappa variable 6D-21 ,0,I-10
963,Immunoglobulin lambda variable 2-18 ,0,I-10
964,Immunoglobulin heavy variable 4-28 ,0,I-10
965,Immunoglobulin lambda variable 6-57 ,0,I-10
966,SH3 and multiple ankyrin repeat domains protein 1 ,0,I-10
967,Apolipoprotein M ,0,I-10
968,Adiponectin ,0,I-10
969,Immunoglobulin heavy variable 1-24 ,0,I-10
970,Uncharacterized protein ZSWIM9 ,0,I-10
971,Apolipoprotein A-II ,0,I-10
972,Alpha-1-acid glycoprotein 2 ,0,I-10
973,Immunoglobulin kappa variable 2-24 ,0,I-10
974,Complement factor D ,0,I-10
975,Immunoglobulin kappa variable 1D-16 ,0,I-10
976,Immunoglobulin heavy variable 7-4-1 ,0,I-10
977,Beta-Ala-His dipeptidase ,0,I-10
978,Coagulation factor XIII A chain ,0,I-10
979,Selenoprotein P ,0,I-10
980,Coagulation factor IX ,0,I-10
981,Transferrin receptor protein 1 ,0,I-10
982,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,I-10
983,Immunoglobulin lambda variable 1-51 ,0,I-10
984,Pigment epithelium-derived factor ,0,I-10
985,Immunoglobulin kappa variable 1-17 ,0,I-10
986,Complement C1q subcomponent subunit C ,1,I-10
987,Galectin-3-binding protein ,0,I-10
988,Immunoglobulin kappa variable 2D-30 ,0,I-10
989,Immunoglobulin kappa variable 2D-29 ,0,I-10
990,Immunoglobulin kappa variable 2-29 ,0,I-10
991,Immunoglobulin kappa variable 1D-33 ,1,I-10
992,Immunoglobulin kappa variable 1-33 ,1,I-10
993,Immunoglobulin kappa variable 1D-8 ,0,I-10
994,Coagulation factor XIII B chain ,0,I-10
995,Immunoglobulin kappa variable 1-5 ,0,I-10
996,Immunoglobulin kappa variable 2-30 ,0,I-10
997,Immunoglobulin kappa variable 1-13 ,0,I-10
998,Immunoglobulin kappa variable 1D-13 ,0,I-10
999,Complement C1s subcomponent ,1,I-10
1000,Complement C1q subcomponent subunit A ,0,I-10
1001,Immunoglobulin heavy variable 3-20 ,0,I-10
1002,Immunoglobulin lambda-like polypeptide 1 ,0,I-10
1003,Alpha-1-acid glycoprotein 1 ,0,I-10
1004,Complement component C7 ,0,I-10
1005,Immunoglobulin kappa variable 2-40 ,0,I-10
1006,Immunoglobulin kappa variable 2D-40 ,0,I-10
1007,Complement C1r subcomponent-like protein ,0,I-10
1008,Fibulin-1 ,0,I-10
1009,Protein AMBP ,0,I-10
1010,Zinc-alpha-2-glycoprotein ,0,I-10
1011,Immunoglobulin heavy variable 3-74 ,1,I-10
1012,Ficolin-3 ,0,I-10
1013,Probable non-functional immunoglobulin kappa variable 3-7 ,0,I-10
1014,Immunoglobulin heavy variable 3-43D ,0,I-10
1015,C3/C5 convertase ,0,I-10
1016,Complement C2 ,0,I-10
1017,Complement factor H-related protein 2 ,0,I-10
1018,Corticosteroid-binding globulin ,0,I-10
1019,Immunoglobulin heavy variable 3-30-3 ,0,I-10
1020,Serum paraoxonase/arylesterase 1 ,0,I-10
1021,Immunoglobulin heavy variable 3-33 ,0,I-10
1022,Immunoglobulin heavy variable 3-21 ,0,I-10
1023,Lumican ,0,I-10
1024,Coagulation factor XII ,0,I-10
1025,Immunoglobulin heavy variable 3-72 ,0,I-10
1026,Thyroxine-binding globulin ,0,I-10
1027,Inter-alpha-trypsin inhibitor heavy chain H2 ,1,I-10
1028,Complement factor I ,0,I-10
1029,Alpha-2-antiplasmin ,0,I-10
1030,Plasma protease C1 inhibitor ,0,I-10
1031,Vitamin K-dependent protein S ,0,I-10
1032,Collagen alpha-1(XII) chain ,0,I-10
1033,Immunoglobulin lambda constant 7 ,0,I-10
1034,ITIH4 protein ,0,I-10
1035,Alpha-1-antichymotrypsin ,0,I-10
1036,Hemopexin ,0,I-10
1037,Complement C4-B ,1,I-10
1038,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,I-10
1039,Alpha-1-antitrypsin ,0,I-10
1040,Immunoglobulin heavy constant gamma 1 ,0,I-10
1041,Thrombospondin-1 ,0,I-10
1042,Apolipoprotein F ,0,I-10
1043,Immunoglobulin heavy variable 1-3 ,0,I-10
1044,Apolipoprotein A-I ,1,I-10
1045,Apolipoprotein B-100 ,1,I-10
1046,Plasma serine protease inhibitor ,0,I-10
1047,Immunoglobulin J chain ,1,I-10
1048,Apolipoprotein L1 ,1,I-10
1049,Phosphatidylcholine-sterol acyltransferase ,0,I-10
1050,Protein Z-dependent protease inhibitor ,0,I-10
1051,Complement component C9 ,1,I-10
1052,Immunoglobulin heavy variable 3-7 ,1,I-10
1053,CD5 antigen-like ,0,I-10
1054,Immunoglobulin lambda variable 3-10 ,1,I-10
1055,Probable non-functional immunoglobulinn kappa variable 1D-37 ,0,I-10
1056,Probable non-functional immunoglobulinn kappa variable 1-37 ,0,I-10
1057,Fetuin-B ,0,I-10
1058,Immunoglobulin heavy variable 1-8 ,0,I-10
1059,Carboxypeptidase B2 ,0,I-10
1060,Phospholipid transfer protein ,0,I-10
1061,Immunoglobulin kappa variable 3-20 ,1,I-10
1062,Immunoglobulin heavy variable 1-46 ,0,I-10
1063,Haptoglobin ,0,I-10
1064,Immunoglobulin heavy variable 1-2 ,0,I-10
1065,Immunoglobulin heavy variable 1-69D ,0,I-10
1066,Immunoglobulin kappa variable 1-6 ,0,I-10
1067,Gelsolin ,1,I-10
1068,Serum amyloid P-component ,0,I-10
1069,Immunoglobulin heavy variable 3-49 ,1,I-10
1070,Immunoglobulin kappa variable 3-11 ,0,I-10
1071,Complement subcomponent C1r ,0,I-10
1072,Lipopolysaccharide-binding protein ,0,I-10
1073,Immunoglobulin lambda variable 3-27 ,1,I-10
1074,Immunoglobulin heavy variable 1-69-2 ,0,I-10
1075,Immunoglobulin heavy variable 1-18 ,0,I-10
1076,Beta-2-glycoprotein 1 ,0,I-10
1077,Immunoglobulin kappa variable 1-39 ,0,I-10
1078,Immunoglobulin kappa variable 1D-39 ,0,I-10
1079,Vitronectin ,1,I-10
1080,Kininogen-1 ,0,I-10
1081,Hepatocyte growth factor activator ,0,I-10
1082,Immunoglobulin heavy variable 3-23 ,0,I-10
1083,Hyaluronan-binding protein 2 ,0,I-10
1084,Immunoglobulin heavy constant alpha 1 ,1,I-10
1085,Plasma kallikrein ,0,I-10
1086,Ig-like domain-containing protein  ,0,I-10
1087,Complement C1r subcomponent ,0,I-10
1088,Angiotensinogen ,1,I-10
1089,Alpha-2-HS-glycoprotein ,0,I-10
1090,Complement component C6 ,0,I-10
1091,Immunoglobulin kappa variable 3D-20 ,1,I-10
1092,Immunoglobulin heavy constant mu ,1,I-10
1093,Immunoglobulin heavy variable 3-15 ,1,I-10
1094,Immunoglobulin kappa variable 1-27 ,0,I-10
1095,C4b-binding protein alpha chain ,0,I-10
1096,Plasminogen ,1,I-10
1097,Immunoglobulin kappa variable 1-8 ,0,I-10
1098,Carboxypeptidase N subunit 2 ,0,I-10
1099,Immunoglobulin lambda variable 1-47 ,0,I-10
1100,Immunoglobulin kappa variable 1-16 ,0,I-10
1101,Complement factor B ,1,I-10
